River1,River2,Elevation
250,250,2.16526
250,500,2.16608
250,750,2.16876
250,1e3,2.17224
250,1500,2.18001
250,2e3,2.18769
250,2500,2.1946600000000003
250,3e3,2.20092
250,4e3,2.2129899999999996
250,5e3,2.22387
500,250,2.17714
500,500,2.17818
500,750,2.1798
500,1e3,2.18201
500,1500,2.1874700000000002
500,2e3,2.19341
500,2500,2.19907
500,3e3,2.20479
500,4e3,2.21625
500,5e3,2.2266000000000004
750,250,2.18618
750,500,2.1870600000000002
750,750,2.1882900000000003
750,1e3,2.18991
750,1500,2.1939499999999996
750,2e3,2.19862
750,2500,2.2034
750,3e3,2.20871
750,4e3,2.2195
750,5e3,2.22938
1e3,250,2.1931
1e3,500,2.1939499999999996
1e3,750,2.19512
1e3,1e3,2.19634
1e3,1500,2.19947
1e3,2e3,2.20313
1e3,2500,2.2076
1e3,3e3,2.21255
1e3,4e3,2.2226799999999995
1e3,5e3,2.23219
1500,250,2.2031799999999997
1500,500,2.20375
1500,750,2.2045800000000004
1500,1e3,2.2056799999999996
1500,1500,2.2081
1500,2e3,2.21144
1500,2500,2.21543
1500,3e3,2.21988
1500,4e3,2.22883
1500,5e3,2.2377100000000003
2e3,250,2.21098
2e3,500,2.21167
2e3,750,2.2123500000000003
2e3,1e3,2.21326
2e3,1500,2.2157
2e3,2e3,2.2188600000000003
2e3,2500,2.2226299999999997
2e3,3e3,2.22661
2e3,4e3,2.23479
2e3,5e3,2.2430399999999997
2500,250,2.21758
2500,500,2.2182299999999997
2500,750,2.2190600000000003
2500,1e3,2.22005
2500,1500,2.2225799999999998
2500,2e3,2.22573
2500,2500,2.22917
2500,3e3,2.23277
2500,4e3,2.24037
2500,5e3,2.2481400000000002
3e3,250,2.2235700000000005
3e3,500,2.22435
3e3,750,2.2253
3e3,1e3,2.2264
3e3,1500,2.2289999999999996
3e3,2e3,2.23195
3e3,2500,2.23515
3e3,3e3,2.2385800000000002
3e3,4e3,2.2456400000000003
3e3,5e3,2.2529899999999996
4e3,250,2.23464
4e3,500,2.23561
4e3,750,2.2366800000000002
4e3,1e3,2.2378199999999997
4e3,1500,2.24026
4e3,2e3,2.24298
4e3,2500,2.24578
4e3,3e3,2.2488799999999998
4e3,4e3,2.2554199999999995
4e3,5e3,2.26223
5e3,250,2.24452
5e3,500,2.24551
5e3,750,2.24654
5e3,1e3,2.24757
5e3,1500,2.2498899999999997
5e3,2e3,2.2525099999999996
5e3,2500,2.2553500000000004
5e3,3e3,2.2582600000000004
5e3,4e3,2.26445
5e3,5e3,2.27088
